label_gang_mem_list,pred_gang_mem_list,jaccard,subgraph_gang_label,subgraph_node_map
[],[],0.0,0,"['779714670', '302232831', '1688111192', '3485955522', '1175565222', '1637933807', '2344790215', '2252979812', '886324565', '170206816', '740568972', '1249394571', '1138873406', '3162994362', '3113901726', '2955342110', '3132093331', '3146043563', '2295082898', '506290111', '986591528', '686768945', '1481221791', '2137372635', '2908798741', '2763363377', '54563430', '1154716735', '386292268', '1186229967', '2801749932', '3606270291', '3177438576', '1930065562', '2240705728', '920229538', '2168217137', '1735493137', '2440618677', '820967142', '3736136949', '1130500863', '2660349240', '1373002842', '2647791171', '416771001', '3031871926', '510996942', '2535072335', '535172713', '1671212184', '814339104', '2939402959', '2371899242', '3330069863', '324881793', '122211104', '1100937812', '320303942', '826728341', '2355099889', '424891724', '3419527797', '1513840608', '256210528', '1092980234', '1895205864', '330031487', '1952044133', '214902677', '734956418', '2002355176', '681250672', '1735704181', '1075342026', '1776361571', '2347747415', '1658876233', '1019811819', '2161817103', '687316023', '278717671', '2103300144', '2621283019', '2075244741', '220279305', '814698323', '2544464237', '1634605974', '3308419554', '1870259124', '3362571374', '2039715137', '3639641850', '1088587173', '3751539019', '1841558469', '1719562831', '1106341612', '2815202861', '299605687']"
"['1950893598', '1435432334', '521349783', '2246359256', '2784751172']",[],0.0,11,"['1950893598', '1435432334', '521349783', '2697550721', '972621105', '2343255903', '1922280290', '2246359256', '846948183', '871338303', '3503079134', '2905919708', '2563011327', '2784751172']"
[],[],0.0,0,"['1783013576', '1537036565', '287259719', '2315201460', '1435535014', '923136012', '3652800663', '1324472130', '2268681935', '366365728', '1801150740', '3184432244', '2344175063', '2356519562', '2695911132', '1276197885', '1262278143', '2054726302', '1465191105', '1346974696', '2484880250', '1638358688', '873872622', '1019547977', '1767789555', '1234466218', '2107179981', '2598982509', '2042815008', '705163816', '2059192842', '1330210209', '994053874', '41255504', '365675047', '1494721816', '1484006662', '3162112241', '1900342974', '383326083', '196227883', '1957006101', '800446821', '2940164331', '501812531', '2321048939', '2949384930', '2429521731', '2676528826', '133871882', '911538023', '1928544612', '1285576300', '392905800', '2779816608', '2940134781', '2956815119', '1224692005', '3323487517', '2282197007', '644726636', '1350028219', '4009506918', '3724963138', '3389725586', '2123414507', '1318927281', '1642400273', '1281024348', '4038500393', '815965042', '3176058161', '2102849327', '304243675', '927494583', '2100131818', '1987856713', '1341520684', '122541926', '1859717286', '3388234487', '3335895202', '246489499', '1093362534', '573735899', '2739155784', '1244183567', '85506052', '1390779815', '2087850931', '1148076020', '3492479528', '1853281205', '2400864018', '3340942186', '2386886824', '214306615', '659389644', '3053895297', '1052068485', '390208669']"
"['1081760976', '1147001897', '4114648170', '705632443', '2682088207', '2134800456', '2207539368', '483036490', '4102466983', '2619303310', '2652877530', '3131148714']",[],0.0,16,"['1081760976', '4133646190', '1147001897', '1998969473', '4114648170', '1121088556', '705632443', '243932462', '2682088207', '2134800456', '2207539368', '483036490', '4102466983', '2619303310', '2652877530', '3131148714']"
[],[],0.009900987148284912,0,"['1106566706', '1199499232', '1997283514', '2534997730', '1438325130', '736545638', '1046487337', '1202249320', '2523261181', '1986725419', '1171032662', '2577061006', '755557382', '1581419507', '2087341334', '2153921380', '2992581133', '1534573183', '1828734579', '1963047018', '1129762260', '2184948413', '917340036', '334619289', '628424517', '410578284', '610059785', '2276852972', '4015214627', '4095972043', '2449762280', '267258629', '1172152822', '1092005207', '3409128450', '2089483813', '3752605730', '1207269005', '3370305720', '3743261018', '1635742410', '1410255939', '379762177', '879953064', '1348547739', '114165120', '907203772', '1303134161', '1903992182', '4025137460', '199791098', '1821520062', '3103348301', '2688697915', '3188052921', '1916872411', '2861405975', '3437763967', '1499147221', '1583211780', '835696757', '905538670', '919257303', '1829265177', '2537681575', '1915180344', '2326966802', '1051610343', '2954939800', '897915015', '1005069312', '2908582643', '2103884372', '2239178807', '3154703347', '1113645939', '1209984052', '2736112515', '1848439823', '964942885', '1978753814', '4018928232', '587300475', '1340667808', '1893735518', '2002253538', '3415482503', '1356918741', '3367744365', '1734834617', '340497523', '3414513551', '4089545771', '2990447240', '2583245264', '1515622907', '2298014562', '1846572163', '2072128367', '644146226', '2608961229']"
"['1677567848', '1166585248', '3644697096', '747602056', '3661200507']",[],0.0,4,"['1677567848', '1166585248', '3644697096', '747602056', '3661200507', '2639350869', '1073803100']"
"['2198286133', '3614544735', '1561353521', '2827046813', '2556468540', '748213253', '2053085545']",[],0.0,2,"['2198286133', '3614544735', '1561353521', '2827046813', '2556468540', '571368902', '748213253', '2053085545']"
[],[],0.0,0,"['1541112519', '2446507120', '2024112320', '2014310460', '2465806335', '927838343', '784364147', '1275365006', '719287217', '2827975425', '2131084025', '2225203700', '915339401', '2360577803', '1333390921', '1676082082', '1151574990', '2596346932']"
[],[],0.0,0,"['3169584805', '3032280777', '2736507456', '2431341407', '3496692885', '2961256014', '3631997618', '391282480', '1986062773', '2603470215', '2635323007', '434229160', '419740423', '3335243820', '1118210976', '3047137236', '1353122208', '231646580', '121138980', '412215835', '841755400', '2344090564', '3128187129', '836478042', '443772969', '983319421', '3181751747', '483575006', '855297247', '2865971022', '2527052004', '1858564581', '2721829200', '2400693657', '2569822960', '903023064', '1805520141', '2205458148', '2708221081', '118532001', '1142572982', '1459889960', '3774991147', '2920153925', '1794091419', '329505967', '2173193125', '2246955718', '3353819474', '346557671', '1131813935', '110023814', '1172242101', '2998454038', '734049200', '754030541', '727093631', '30061945', '3149965513', '2624787200', '966965118', '932757494', '2669887108', '2898717240', '1147129117', '1420416725', '1738222896', '1128064338', '1696029014', '4093848162', '1458846606', '266049295', '1350120941', '346762055', '287804895', '1150547814', '2747787415', '2521575225', '1248584727', '2808865722', '3323967305', '683601674', '1827191977', '2037007334', '3670169144', '885031828', '755642568', '219819021', '3692600399', '2198638800', '1182907982', '618354175', '2673797916', '3616792228', '257197042', '2111030825', '1339850210', '989613174', '2880166583', '205603342', '2804169844']"
[],[],0.0,0,"['3648757662', '400751404', '3117402315', '33188639', '1128636791', '3339178409']"
