roomid,action_seqs,label
4310835497,1|2|2|2|8|8|2|2|1|1|2|2|2|2|2|2|2|2|2|2|1|2|2|2|8|2|2|2|8|2|2|1|2|2|2|2|2|2|8|8|8|2|2|2|8|2|2|8|2|2|8|2|1|2|2|2|8|1|2|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2|1|2|2|2|2|2|8|2|2|1|1|2|2|2|2|2|2|2|2|2|1|1|1|2|2|2|2|1|2|2|2|1|1|1|1|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2|2|1|2|2|2|2|2|1|1|2|2|2|2|2|1|2|2|2|2|2|2|1|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|1|2|2|2|1|2|2|2|2|1|2|2|2|1|2|2|2|2|1|2|2|2|2|1|2|2|2|1|2|2|2|2|2|2|2|2|1|2|2|1|2|2|2|2|1|1|2|2|8|2|2|1|2|2|2|2|2|1|2|2|2|2|2|2|1|2|2|2|8|1|2|2|2|2|2|2|2|2|2|1|2|2|2|2|1|2|2|2|2|2|2|2|2|1|1|1|1|2|2|1|1|2|1|2|1|2|8|2|8|1|2|2|2|2|1,1
18214862245,55|51|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|51|51|33|33|33|33|33|33|33|33|33|33|33|33|51|33|33|55|51|51|51|51|33|33|33|33|33|33|33|33|8|55|51|55|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|51|35|35|51,1
18359862296,2|2|2|2|2|7|2|2|8|2,1
19480369143,8|7|7|2|35|35|33|33|33|33|7|8|2|2|2,1
19662859290,2|2|2|2|2|2|2|2|2|2|1|2|2|1|3|2|3|1|1|3|2|2|2|2|2|2|2|2|25|2|2|2|2|2|2|3|1|2|2|2|2|2|2|2|1|2|2|2|2|2|2|3|1|2|2|2|2|2|2|2|1|2|1|2|2|2|2|2|2|2|2|2|2|2|2|3|1,1
20996979463,2|8|8|8|8|8|8|2|8|2|35|35|33|33|33|33|33|35|35|33|33|33|33|2|2|33|33|33|33|33|33|33|33|33|33|33|33|33|33|30|35|35|33|33|33|33|8|8|8|2|2|2|2|2|8|8|8,1
21212643163,2|35|35|39|35|35|35|35|8|35|35|35|35|35|35|35|35|35|35|2|8|2|8|2|8|2|8|8|8|39|8,1
25089974060,55|51|51|51|51|51|51|51|51|51|8|8|3|1|3|1,1
34517883302,3|1|2|3|1|3|1|35|35|35|35|38|30|1|3|1|3|35|35|38|1|1|25|3|1|2|1|2|1|1|3,1
34941388437,51|30|51|51|3|51|51|51|35|35|35|35|3|1|1|3|51|33|33|33|33|1|3|2|1|3|8|8|8|8|8|2,1
34957188360,2|2|2|2|7|7|35|35|55|51|1|33|33|33|33|33|33|33|33|55|51|33|33|33|33|33|33|2|2|2|2|35|35|33|33|33|33|35|35|33|33|33|33|33|33|35|35|2|1|1|2|35|35|33|33|33|33|2|8|33|33|2|2|2|1|1|2|2|2|2|2|2|1|2|2|2|35|35|33|33|33|33|30|7|7|7|7|7|2|35|35|35|35|33|33|33|33|7|2|2|35|35|33|33|33|33|2|33|33|33|33|35|35|33|33|7|33|33|7|35|35|35|35|7|7|7|33|33|33|33|33|7|6|6|1|6|6|39|7|33|33|33|33|35|35|33|33|33|33|2|2|2|33|33|33|33|33|33|33|33|35|35|33|33|33|33|33|33|7|35|35|33|33|33|33|33|33|33|33|7|8|7|8|2|2|55|51|1|55|51|55|51|55|51|55|51|39|55|51|55|51|51|51|7|7|7|7|35|35|33|33|33|33|7|2|2|2|2|2|35|35|33|33|33|33|7|2|2|33|33|33|33|2|7|7|2|8|2|2|2|8|2|2,1
38762851891,1|35|35|33|33|33|33|2|35|35|35|35|1|1|2|1,1
38920649407,33|33|33|33|33|33|33|33|32|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|2|2|29|8|33|33|33|33|8|32|2|8|2|33|33|33|33|32|35|35|33|33|33|33|33|33|33|33|33|33|35|35|33|33|33|33|33|33|33|33|33|30|2|1|3|25|8|2|2|2|2|2|2|2|2|32|35|35|33|33|33|33|2|2|8|8|32|35|35|33|33|33|33|2|35|35|35|35|33|33|33|33|33|33|35|35|55|51|33|33|33|33|35|35|33|33|33|33|29|51|51|51|2|51|51|51|51|51,1
39115605686,1|1|1|1|1|1|1|1|1|2|1|1|1|3|1|1,1
39288237807,3|1|2|2|35|35|33|33|33|33|40|40|2|1|1|1|3|35|35|6|33|33|33|33|2|1|3|2|8|33|33|33|33,1
43904992307,1|2|2|2|4|1|4|2|2|2|2|2|2|2|2|2|8|8|2|35|35|38|39|35|35|8|8|8|2|2,1
43975105699,35|35|33|33|33|33|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|33|55|51|51|51|51|33|33|33|33|51|51|51|51|2|2|2|8|2|2|2|2|2|39|51|39|51|51|33|33|33|33|33|33|33|33|33|33|33|33|30|54|50|55|51|51|50|51|39|51|50|51,1
43975994009,8|2|8|35|35|35|35|35|35|33|33|33|33|35|35|33|33|33|33|35|35,1
44459495453,33|33|1|3|39|2|39|39|33|33|33|33|39|39|39|39,1
44642105378,30|30|2|1|2|35|35|33|33|33|33|32|35|35|33|33|33|33|32|35|35|33|33|33|33|33|33|33|33|32,1
44877383949,2|2|2|7|2|1|1|1|1|1|8|8,1
45623284503,1|2|2|2|8|8|8|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|1|8|1|1|1|1|2|2|2|1|8|1|1|8|1|1|2|2|1|2|1|2|8|1|3|1|3|1|2|1|34|34|34|34|34|34|1,1
48225358670,8|8|8|2|8|2|2|2|2|2|2|2|2|2|8|1|3,1
49298561089,51|51|51|51|2|2|55|51|51|56|52|2|56|52|55|51|51|51|2|2|25|2|2|2|2|2|2|2|2|2|2|2|2|2|55|51|56|52|2|25|2|25|2|2|2|2|2|2|2|2|2|2|51|51|51|51,1
5490490327,1|3|1|3|35|35|33|33|33|33|3|1|1|3|3|1|39|1|3|1|3|8|3|1|3|1|1|34|34|34|34,1
8114469475,2|2|2|1|3|2|33|33|33|33|2|33|33|33|33|33|33|35|35|35|35|35|35|33|33|33|33|33|33|2|2|2|2|2|2|2|33|33|33|33|8|35|35|33|33|33|33|33|33|35|35|30|2|30|33|33|33|33|33|33|1|3|35|35|33|33|33|33|33|33|33|33|33|33|30|35|35|35|35|30,1
20009615002,2|1|1|1|2|1|1|1|1|3|2|1|9|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1,1
20518562538,2|33|35|35|35|35|33|33|33|33|2|2|33|33|33|33|33|33|8|8,1
20668138707,33|33|33|33|33|33|33|33|3|1|2|35|35|33|33|33|33|30|35|35|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33|33|33|39,1
21254152276,2|2|8|8|8|8|32|35|35|32|35|35|32|35|32|35|35|32|35|35|33|33|33|33|33|33|33|33|33|33|33|33|37|37|33|33|33|33|33|33,1
21274952038,39|35|35|33|33|33|33|33|35|35|33|33|33|33|8|2|2|33|33|2|37|37|2,1
21287950989,39|39|39|39|39|37|39|39|39|39|39|39|39|39|39|39|39|39|35|35|33|33|33|33|39|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|37|35|35|31,1
31287675894,7|7|2|2|2|2|2|2|2|2|2|2|2,1
